,_id,datetime,heat_i,hum,rain,temp
0,61b099acc4e57b71df6cce5b,40:28.0,6.51,55,4095,8.2
1,61b09e5cc4e57b71df6cce5c,00:28.4,6.51,55,4095,8.2
2,61b0a30cc4e57b71df6cce5d,20:28.9,6.62,55,4095,8.3
3,61b0a7a9b5262749cfe52f0e,40:09.1,6.61,56,4095,8.5
4,61b0ac59b5262749cfe52f0f,00:09.8,6.62,55,4095,8.3
5,61b0b10ab5262749cfe52f10,20:10.2,6.65,56,4095,8.3
6,61b0b5bab5262749cfe52f11,40:10.6,6.51,55,4095,8.2
7,61b0ba6bb5262749cfe52f12,00:11.2,6.51,55,4095,8.2
8,61b0bf20085abea5af6c6ea1,20:16.5,6.71,54,4095,8.4
9,61b0c3d1085abea5af6c6ea2,40:17.2,6.57,53,4095,8.3
10,61b0c881085abea5af6c6ea3,00:17.7,6.57,53,4095,8.3
11,61b0cd32085abea5af6c6ea4,20:18.1,6.43,52,4095,8.2
12,61b0d1e2085abea5af6c6ea5,40:18.7,6.43,52,4095,8.2
13,61b0d693085abea5af6c6ea6,00:19.1,6.32,52,4095,8.1
14,61b0db43085abea5af6c6ea7,20:19.4,6.21,52,4095,8
15,61b0dff3085abea5af6c6ea8,40:19.9,6.21,52,4095,8
16,61b0e4a4085abea5af6c6ea9,00:20.3,6.1,52,4095,7.9
17,61b0e954085abea5af6c6eaa,20:20.6,6.1,52,4095,7.9
18,61b0ee05085abea5af6c6eab,40:21.0,5.99,52,4095,7.8
19,61b0f2b5085abea5af6c6eac,00:21.4,5.88,52,4095,7.7
20,61b0f765085abea5af6c6ead,20:21.7,5.88,52,4095,7.7
21,61b0fc16085abea5af6c6eae,40:22.1,5.66,52,4095,7.5
22,61b100c6085abea5af6c6eaf,00:22.7,5.55,52,4095,7.4
23,61b10577085abea5af6c6eb0,20:23.2,5.44,52,4095,7.3
24,61b10a27085abea5af6c6eb1,40:23.6,5.36,53,4095,7.2
25,61b10ed7085abea5af6c6eb2,00:23.9,5.36,53,4095,7.2
26,61b11388085abea5af6c6eb3,20:24.3,5.14,53,4095,7
27,61b11838085abea5af6c6eb4,40:24.7,5.06,54,4095,6.9
28,61b11ce9085abea5af6c6eb5,00:25.0,5.06,54,4095,6.9
29,61b12199085abea5af6c6eb6,20:25.4,5.03,53,4095,6.9
30,61b14254c6b7e6fe9d4bfdba,40:04.9,4.66,64,4095,6.3
31,61b14705c6b7e6fe9d4bfdbb,00:05.5,4.63,63,4095,6.3
32,61b14bb5c6b7e6fe9d4bfdbc,20:05.8,4.74,63,4095,6.4
33,61b15066c6b7e6fe9d4bfdbd,40:06.2,4.41,63,4095,6.1
34,61b15516c6b7e6fe9d4bfdbe,00:06.6,4.38,62,4095,6.1
35,61b159c6c6b7e6fe9d4bfdbf,20:06.9,4.49,62,4095,6.2
36,61b15e77c6b7e6fe9d4bfdc0,40:07.2,4.49,62,4095,6.2
37,61b16327c6b7e6fe9d4bfdc1,00:07.7,4.38,62,4095,6.1
38,61b167d8c6b7e6fe9d4bfdc2,20:08.1,4.38,62,4095,6.1
39,61b16c88c6b7e6fe9d4bfdc3,40:08.4,4.38,62,4095,6.1
