,c_clouds,c_feels,c_humidity,c_pressure,c_temp,c_time,c_weather_desc,c_weather_main,c_wind_speed,feels_error,hum_error,p_clouds,p_feels,p_humidity,p_pressure,p_temp,p_weather_desc,p_weather_main,p_wind_speed,s_feels,s_humidity,s_rain,s_temp,temp_error
0,75.0,3.5,69.0,990.0,7.49,2021-12-08 11:00:00,broken clouds,Clouds,1.79,-3.9899999999999998,5.0,33.0,2.52,60.0,990.0,6.68,scattered clouds,Clouds,7.48,6.51,55.0,4095.0,8.2,-1.5199999999999996
1,75.0,3.76,70.0,990.0,7.81,2021-12-08 12:00:00,broken clouds,Clouds,8.23,-3.85,5.670000000000002,44.0,2.73,61.0,990.0,6.81,scattered clouds,Clouds,7.33,6.58,55.33,4095.0,8.33,-1.5200000000000005
2,75.0,4.23,70.0,991.0,8.06,2021-12-08 13:00:00,broken clouds,Clouds,7.72,-3.6999999999999997,7.670000000000002,100.0,2.89,63.0,991.0,6.86,overcast clouds,Clouds,7.03,6.59,55.33,4095.0,8.27,-1.4099999999999993
3,75.0,4.4,67.0,992.0,8.07,2021-12-08 14:00:00,broken clouds,Clouds,7.2,-3.5999999999999996,10.0,99.0,3.0,64.0,991.0,6.91,overcast clouds,Clouds,6.9,6.6,54.0,4095.0,8.3,-1.3900000000000006
4,75.0,4.14,67.0,992.0,7.87,2021-12-08 15:00:00,broken clouds,Clouds,7.2,-3.6500000000000004,18.67,100.0,2.83,71.0,994.0,6.38,overcast clouds,Clouds,5.54,6.48,52.33,4095.0,8.23,-1.8500000000000005
5,40.0,3.23,67.0,993.0,7.29,2021-12-08 16:00:00,scattered clouds,Clouds,7.72,-3.69,18.0,100.0,2.56,70.0,995.0,5.98,overcast clouds,Clouds,5.0,6.25,52.0,4095.0,8.03,-2.049999999999999
6,40.0,3.16,68.0,994.0,6.68,2021-12-08 17:00:00,scattered clouds,Clouds,5.66,-3.7499999999999996,8.0,72.0,2.31,60.0,995.0,6.36,broken clouds,Clouds,6.87,6.06,52.0,4095.0,7.87,-1.5099999999999998
7,0.0,2.39,68.0,995.0,6.38,2021-12-08 18:00:00,clear sky,Clear,6.69,-3.8,8.0,76.0,2.01,60.0,995.0,6.0,broken clouds,Clouds,6.4,5.81,52.0,4095.0,7.63,-1.63
8,40.0,2.18,69.0,996.0,6.35,2021-12-08 19:00:00,scattered clouds,Clouds,7.2,-3.3000000000000003,6.670000000000002,100.0,2.15,59.0,996.0,6.07,overcast clouds,Clouds,6.27,5.45,52.33,4095.0,7.3,-1.2299999999999995
9,0.0,1.96,71.0,997.0,6.04,2021-12-08 20:00:00,clear sky,Clear,6.69,-3.0800000000000005,4.670000000000002,100.0,2.11,58.0,996.0,6.12,light rain,Rain,6.54,5.19,53.33,4095.0,7.03,-0.9100000000000001
10,75.0,1.96,76.0,997.0,5.89,2021-12-08 21:00:00,light rain,Rain,6.17,-4.05,12.5,100.0,0.99,66.0,995.0,5.5,light rain,Rain,7.49,5.04,53.5,4095.0,6.9,-1.4000000000000004
11,75.0,1.71,76.0,998.0,5.85,2021-12-08 23:00:00,broken clouds,Clouds,6.69,-3.99,17.0,100.0,0.67,81.0,996.0,5.02,overcast clouds,Clouds,6.65,4.66,64.0,4095.0,6.3,-1.2800000000000002
12,75.0,1.52,76.0,998.0,5.7,2021-12-09 00:00:00,broken clouds,Clouds,6.69,-3.77,26.0,100.0,0.82,89.0,996.0,4.81,overcast clouds,Clouds,5.61,4.59,63.0,4095.0,6.27,-1.46
13,75.0,1.85,76.0,999.0,5.64,2021-12-09 01:00:00,broken clouds,Clouds,5.66,-2.74,23.0,100.0,1.71,85.0,996.0,5.43,overcast clouds,Clouds,5.36,4.45,62.0,4095.0,6.17,-0.7400000000000002
14,75.0,2.21,75.0,999.0,5.75,2021-12-09 02:00:00,broken clouds,Clouds,5.14,-2.28,17.0,100.0,2.1,79.0,996.0,5.83,overcast clouds,Clouds,5.62,4.38,62.0,4095.0,6.1,-0.2699999999999996
15,75.0,2.31,74.0,999.0,5.64,2021-12-09 03:00:00,broken clouds,Clouds,4.63,-1.75,13.329999999999998,100.0,2.54,76.0,996.0,6.07,overcast clouds,Clouds,5.31,4.29,62.67,4095.0,6.0,0.07000000000000028
16,20.0,1.0,75.0,1000.0,5.43,2021-12-09 04:00:00,few clouds,Clouds,7.2,-1.96,3.6700000000000017,100.0,2.42,67.0,999.0,6.09,overcast clouds,Clouds,5.65,4.38,63.33,4095.0,6.07,0.019999999999999574
17,20.0,0.75,76.0,1000.0,5.1,2021-12-09 05:00:00,few clouds,Clouds,6.69,-1.7899999999999996,5.670000000000002,100.0,2.56,68.0,999.0,6.05,overcast clouds,Clouds,5.2,4.35,62.33,4095.0,6.07,-0.020000000000000462
18,100.0,0.48,79.0,1001.0,4.56,2021-12-09 06:00:00,overcast clouds,Clouds,5.66,-3.91,14.0,100.0,0.5,74.0,1002.0,4.02,overcast clouds,Clouds,4.27,4.41,60.0,4095.0,6.17,-2.1500000000000004
19,95.0,0.09,81.0,1002.0,3.85,2021-12-09 07:00:00,overcast clouds,Clouds,4.63,-3.65,16.67,91.0,0.52,76.0,1002.0,3.9,overcast clouds,Clouds,3.98,4.17,59.33,4095.0,5.97,-2.07
20,94.0,0.42,83.0,1002.0,3.62,2021-12-09 08:00:00,overcast clouds,Clouds,3.6,-3.82,17.33,77.0,0.27,78.0,1002.0,3.57,broken clouds,Clouds,3.74,4.09,60.67,4095.0,5.87,-2.3000000000000003
21,75.0,0.4,82.0,1003.0,4.1,2021-12-09 09:00:00,broken clouds,Clouds,4.63,-3.24,14.670000000000002,65.0,0.72,76.0,1002.0,3.81,broken clouds,Clouds,3.49,3.96,61.33,4095.0,5.73,-1.9200000000000004
22,0.0,2.34,81.0,1003.0,4.58,2021-12-09 10:00:00,clear sky,Clear,2.57,-2.01,10.0,74.0,1.81,73.0,1003.0,4.52,broken clouds,Clouds,3.16,3.82,63.0,4095.0,5.57,-1.0500000000000007
23,0.0,2.67,78.0,1003.0,5.71,2021-12-09 11:00:00,clear sky,Clear,4.12,-0.4299999999999997,4.670000000000002,64.0,3.37,68.0,1002.0,5.93,broken clouds,Clouds,3.38,3.8,63.33,4095.0,5.53,0.39999999999999947
24,0.0,3.62,73.0,1003.0,7.04,2021-12-09 12:00:00,clear sky,Clear,5.66,0.7000000000000002,-0.3299999999999983,69.0,4.15,65.0,1001.0,6.57,broken clouds,Clouds,3.37,3.45,65.33,4095.0,5.17,1.4000000000000004
25,0.0,4.81,71.0,1002.0,7.65,2021-12-09 13:00:00,clear sky,Clear,4.63,1.62,-3.3299999999999983,98.0,4.71,64.0,1001.0,7.03,overcast clouds,Clouds,3.36,3.09,67.33,4095.0,4.8,2.2300000000000004
26,0.0,5.32,68.0,1002.0,8.06,2021-12-09 14:00:00,clear sky,Clear,4.63,1.9399999999999995,-4.670000000000002,92.0,4.85,64.0,1001.0,7.01,overcast clouds,Clouds,3.1,2.91,68.67,4095.0,4.6,2.41
27,62.0,4.97,71.0,1001.0,7.58,2021-12-09 15:00:00,broken clouds,Clouds,4.12,1.6800000000000006,-3.0,66.0,4.44,67.0,1000.0,6.57,broken clouds,Clouds,2.93,2.76,70.0,4095.0,4.43,2.1400000000000006
28,0.0,4.31,75.0,1000.0,6.55,2021-12-09 16:00:00,clear sky,Clear,3.09,0.98,3.0,54.0,3.62,74.0,1000.0,5.7,broken clouds,Clouds,2.64,2.64,71.0,4095.0,4.3,1.4000000000000004
29,75.0,4.35,77.0,999.0,6.27,2021-12-09 17:00:00,broken clouds,Clouds,2.57,0.6099999999999999,8.0,58.0,3.29,79.0,1000.0,5.16,broken clouds,Clouds,2.27,2.68,71.0,4095.0,4.33,0.8300000000000001
30,75.0,4.28,79.0,998.0,6.53,2021-12-09 18:00:00,broken clouds,Clouds,3.09,0.27,9.329999999999998,54.0,3.24,79.0,1000.0,4.88,broken clouds,Clouds,1.99,2.97,69.67,4095.0,4.63,0.25
31,90.0,4.54,85.0,996.0,6.74,2021-12-09 19:00:00,overcast clouds,Clouds,3.09,-0.08000000000000007,8.329999999999998,100.0,3.09,77.0,999.0,4.94,overcast clouds,Clouds,2.21,3.17,68.67,4095.0,4.83,0.11000000000000032
32,90.0,4.78,91.0,995.0,7.2,2021-12-09 20:00:00,overcast clouds,Clouds,3.6,-0.20999999999999996,7.0,100.0,3.23,75.0,998.0,5.31,overcast clouds,Clouds,2.55,3.44,68.0,4095.0,5.1,0.20999999999999996
33,75.0,5.3,91.0,994.0,7.63,2021-12-09 21:00:00,light rain,Rain,3.6,-0.050000000000000266,13.0,100.0,3.57,81.0,997.0,5.62,light rain,Rain,2.58,3.62,68.0,4095.0,5.27,0.35000000000000053
34,75.0,5.24,93.0,992.0,7.8,2021-12-09 22:00:00,broken clouds,Clouds,4.12,-0.31999999999999984,27.33,100.0,3.69,93.0,994.0,6.03,light rain,Rain,5.45,4.01,65.67,4095.0,5.7,0.33000000000000007
35,90.0,5.41,93.0,991.0,7.94,2021-12-09 23:00:00,heavy intensity rain,Rain,4.12,0.2599999999999998,28.0,100.0,4.75,94.0,993.0,7.82,light rain,Rain,5.27,4.49,66.0,4095.0,6.1,1.7200000000000006
36,75.0,5.72,95.0,989.0,7.97,2021-12-10 00:00:00,broken clouds,Clouds,3.6,-0.020000000000000462,34.33,100.0,5.59,97.0,992.0,7.89,light rain,Rain,3.65,5.61,62.67,4095.0,7.2,0.6899999999999995
37,75.0,6.31,94.0,988.0,7.92,2021-12-10 01:00:00,broken clouds,Clouds,2.57,-1.7200000000000006,31.0,100.0,4.51,88.0,992.0,7.99,light rain,Rain,6.52,6.23,57.0,4095.0,7.9,0.08999999999999986
38,90.0,4.32,94.0,988.0,7.6,2021-12-10 02:00:00,heavy intensity rain,Rain,5.66,-2.88,30.33,100.0,3.58,86.0,992.0,7.14,light rain,Rain,6.08,6.46,55.67,4095.0,8.13,-0.9900000000000011
39,75.0,3.05,92.0,989.0,7.15,2021-12-10 03:00:00,moderate rain,Rain,7.72,-3.1700000000000004,23.0,100.0,3.56,78.0,993.0,7.33,light rain,Rain,6.84,6.73,55.0,4095.0,8.4,-1.0700000000000003
40,75.0,3.05,90.0,991.0,6.59,2021-12-10 04:00:00,broken clouds,Clouds,5.66,-3.95,23.0,100.0,2.55,79.0,993.0,6.68,overcast clouds,Clouds,7.38,6.5,56.0,4095.0,8.17,-1.4900000000000002
41,75.0,1.99,85.0,991.0,6.2,2021-12-10 05:00:00,broken clouds,Clouds,7.2,-4.17,20.0,100.0,2.1,77.0,994.0,6.21,overcast clouds,Clouds,6.91,6.27,57.0,4095.0,7.93,-1.7199999999999998
42,40.0,1.1,82.0,992.0,5.77,2021-12-10 06:00:00,scattered clouds,Clouds,8.23,-4.77,14.670000000000002,100.0,1.95,72.0,995.0,6.27,overcast clouds,Clouds,7.6,6.72,57.33,4095.0,8.33,-2.0600000000000005
43,40.0,1.13,82.0,994.0,5.07,2021-12-10 07:00:00,scattered clouds,Clouds,5.66,-5.57,14.329999999999998,100.0,1.64,71.0,996.0,5.93,overcast clouds,Clouds,7.19,7.21,56.67,4095.0,8.8,-2.870000000000001
44,100.0,0.49,82.0,995.0,4.57,2021-12-10 08:00:00,overcast clouds,Clouds,5.66,-7.29,18.33,97.0,0.6,73.0,997.0,5.12,overcast clouds,Clouds,7.2,7.89,54.67,4095.0,9.43,-4.31
45,0.0,-0.08,82.0,996.0,4.45,2021-12-10 09:00:00,clear sky,Clear,6.69,-5.369999999999999,12.670000000000002,67.0,0.23,75.0,999.0,4.56,broken clouds,Clouds,6.25,5.6,62.33,4095.0,7.2,-2.6400000000000006
46,75.0,0.48,81.0,997.0,5.03,2021-12-10 10:00:00,broken clouds,Clouds,7.2,-4.69,7.329999999999998,60.0,0.88,71.0,999.0,5.28,broken clouds,Clouds,6.99,5.57,63.67,4095.0,7.13,-1.8499999999999996
47,20.0,1.29,77.0,998.0,5.91,2021-12-10 11:00:00,few clouds,Clouds,8.23,-2.17,7.329999999999998,62.0,3.2,72.0,999.0,5.52,light rain,Rain,6.52,5.37,64.67,4095.0,6.93,-1.4100000000000001
48,20.0,2.13,74.0,999.0,6.56,2021-12-10 12:00:00,few clouds,Clouds,8.23,-3.26,0.0,42.0,2.24,67.0,1000.0,6.33,scattered clouds,Clouds,6.94,5.5,67.0,3546.0,7.0,-0.6699999999999999
49,20.0,2.49,71.0,1000.0,7.05,2021-12-10 13:00:00,few clouds,Clouds,9.26,-5.74,2.6700000000000017,5.0,2.61,65.0,1001.0,6.63,clear sky,Clear,6.98,8.35,62.33,4095.0,9.7,-3.0699999999999994
50,20.0,2.82,70.0,1000.0,7.09,2021-12-10 14:00:00,few clouds,Clouds,8.23,-5.440000000000001,3.3299999999999983,5.0,2.61,64.0,1002.0,6.56,clear sky,Clear,6.73,8.05,60.67,4095.0,9.47,-2.910000000000001
51,20.0,2.89,70.0,1001.0,6.9,2021-12-10 15:00:00,few clouds,Clouds,7.2,-5.36,-5.329999999999998,5.0,2.25,65.0,1003.0,6.24,clear sky,Clear,6.58,7.61,70.33,3509.67,8.83,-2.59
52,40.0,2.46,71.0,1002.0,6.57,2021-12-10 16:00:00,scattered clouds,Clouds,7.2,-6.340000000000001,-6.670000000000002,5.0,1.8,67.0,1004.0,5.83,clear sky,Clear,6.4,8.14,73.67,2226.0,9.23,-3.4000000000000004
53,40.0,2.6,73.0,1004.0,6.24,2021-12-10 17:00:00,scattered clouds,Clouds,5.66,-4.9799999999999995,-9.329999999999998,4.0,1.54,70.0,1005.0,5.57,clear sky,Clear,6.19,6.52,79.33,3897.33,7.63,-2.0599999999999996
54,20.0,2.02,76.0,1005.0,5.6,2021-12-10 18:00:00,few clouds,Clouds,5.14,-5.4799999999999995,-11.329999999999998,4.0,1.24,70.0,1006.0,5.24,clear sky,Clear,5.91,6.72,81.33,3589.33,7.77,-2.5299999999999994
55,20.0,2.0,78.0,1006.0,4.92,2021-12-10 19:00:00,few clouds,Clouds,3.6,-5.890000000000001,-12.329999999999998,4.0,0.8,72.0,1007.0,4.77,clear sky,Clear,5.55,6.69,84.33,1841.0,7.67,-2.9000000000000004
56,20.0,1.11,82.0,1007.0,4.45,2021-12-10 20:00:00,few clouds,Clouds,4.12,-6.35,-11.670000000000002,5.0,0.52,74.0,1008.0,4.45,clear sky,Clear,5.27,6.87,85.67,1792.33,7.8,-3.3499999999999996
57,20.0,0.68,82.0,1008.0,4.1,2021-12-10 21:00:00,few clouds,Clouds,4.12,-6.56,-9.329999999999998,10.0,0.45,76.0,1007.0,4.36,clear sky,Clear,5.32,7.01,85.33,2450.67,7.93,-3.5699999999999994
58,0.0,0.42,82.0,1009.0,3.62,2021-12-10 22:00:00,clear sky,Clear,3.6,-6.85,-9.0,5.0,0.29,77.0,1010.0,4.02,clear sky,Clear,4.65,7.14,86.0,2356.33,8.03,-4.01
59,0.0,0.46,84.0,1009.0,2.99,2021-12-10 23:00:00,clear sky,Clear,2.57,-7.55,-5.329999999999998,4.0,0.3,80.0,1012.0,3.69,clear sky,Clear,3.92,7.85,85.33,2698.67,8.7,-5.01
60,2.0,-1.56,86.0,1011.0,2.52,2021-12-11 00:00:00,clear sky,Clear,4.63,-8.31,1.6700000000000017,4.0,0.33,82.0,1013.0,3.56,clear sky,Clear,3.62,8.64,80.33,2608.0,9.53,-5.969999999999999
61,4.0,-0.97,87.0,1012.0,2.48,2021-12-11 01:00:00,clear sky,Clear,3.6,-7.8999999999999995,1.0,6.0,0.28,83.0,1013.0,3.37,clear sky,Clear,3.36,8.18,82.0,3071.67,9.5,-6.13
62,8.0,-0.82,87.0,1012.0,2.29,2021-12-11 02:00:00,clear sky,Clear,3.09,-7.35,3.0,9.0,0.27,85.0,1014.0,3.2,clear sky,Clear,3.1,7.62,82.0,2832.33,8.57,-5.37
63,12.0,-1.76,89.0,1013.0,1.83,2021-12-11 03:00:00,few clouds,Clouds,3.6,-6.88,0.0,38.0,0.29,86.0,1014.0,3.1,scattered clouds,Clouds,2.92,7.17,86.0,2349.0,8.07,-4.970000000000001
64,17.0,-1.07,90.0,1014.0,2.08,2021-12-11 04:00:00,few clouds,Clouds,3.09,-6.63,2.6700000000000017,36.0,0.24,87.0,1015.0,2.97,scattered clouds,Clouds,2.79,6.87,84.33,2484.33,7.83,-4.859999999999999
65,29.0,-1.46,90.0,1014.0,2.08,2021-12-11 05:00:00,scattered clouds,Clouds,3.6,-6.3100000000000005,2.3299999999999983,32.0,0.3,88.0,1015.0,2.92,scattered clouds,Clouds,2.65,6.61,85.67,2818.33,7.57,-4.65
